0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:29:13 -0300] "GET /blog/postagem/ajax/add HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:29:16 -0300] "GET /blog/postagem/list HTTP/1.1" 200 8532
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:29:24 -0300] "GET /blog/postagem/delete/42 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:29:25 -0300] "GET /blog/postagem/list HTTP/1.1" 200 8446
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:29:29 -0300] "GET /blog/postagem/ajax/add HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:34 -0300] "POST /blog/postagem/ajax/save HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:37 -0300] "POST /blog/postagem/ajax/save HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:39 -0300] "GET /blog/postagem/ajax/add HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:44 -0300] "GET /blog/postagem/list HTTP/1.1" 200 8535
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:47 -0300] "GET /blog/ HTTP/1.1" 200 13718
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:48 -0300] "GET /blog/validacao_com_ajax HTTP/1.1" 200 6307
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:48 -0300] "GET /blog/avatar/load/ HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Jul/2019:17:30:51 -0300] "GET /blog/ HTTP/1.1" 200 13718
